"FPR","TPR","Predict","BaseModel"
0,0,"PRJDB4176","PRJEB27928"
0,0.025,"PRJDB4176","PRJEB27928"
0,0.05,"PRJDB4176","PRJEB27928"
0,0.075,"PRJDB4176","PRJEB27928"
0,0.1,"PRJDB4176","PRJEB27928"
0,0.125,"PRJDB4176","PRJEB27928"
0.025,0.125,"PRJDB4176","PRJEB27928"
0.05,0.125,"PRJDB4176","PRJEB27928"
0.05,0.15,"PRJDB4176","PRJEB27928"
0.05,0.2,"PRJDB4176","PRJEB27928"
0.05,0.225,"PRJDB4176","PRJEB27928"
0.05,0.25,"PRJDB4176","PRJEB27928"
0.05,0.275,"PRJDB4176","PRJEB27928"
0.05,0.3,"PRJDB4176","PRJEB27928"
0.05,0.325,"PRJDB4176","PRJEB27928"
0.05,0.375,"PRJDB4176","PRJEB27928"
0.05,0.4,"PRJDB4176","PRJEB27928"
0.075,0.4,"PRJDB4176","PRJEB27928"
0.075,0.425,"PRJDB4176","PRJEB27928"
0.1,0.425,"PRJDB4176","PRJEB27928"
0.1,0.45,"PRJDB4176","PRJEB27928"
0.1,0.475,"PRJDB4176","PRJEB27928"
0.1,0.5,"PRJDB4176","PRJEB27928"
0.125,0.5,"PRJDB4176","PRJEB27928"
0.125,0.525,"PRJDB4176","PRJEB27928"
0.15,0.525,"PRJDB4176","PRJEB27928"
0.15,0.575,"PRJDB4176","PRJEB27928"
0.15,0.6,"PRJDB4176","PRJEB27928"
0.175,0.6,"PRJDB4176","PRJEB27928"
0.175,0.625,"PRJDB4176","PRJEB27928"
0.175,0.65,"PRJDB4176","PRJEB27928"
0.2,0.65,"PRJDB4176","PRJEB27928"
0.2,0.675,"PRJDB4176","PRJEB27928"
0.225,0.675,"PRJDB4176","PRJEB27928"
0.25,0.675,"PRJDB4176","PRJEB27928"
0.25,0.7,"PRJDB4176","PRJEB27928"
0.275,0.7,"PRJDB4176","PRJEB27928"
0.3,0.725,"PRJDB4176","PRJEB27928"
0.3,0.75,"PRJDB4176","PRJEB27928"
0.325,0.75,"PRJDB4176","PRJEB27928"
0.325,0.775,"PRJDB4176","PRJEB27928"
0.35,0.775,"PRJDB4176","PRJEB27928"
0.35,0.8,"PRJDB4176","PRJEB27928"
0.35,0.825,"PRJDB4176","PRJEB27928"
0.35,0.85,"PRJDB4176","PRJEB27928"
0.375,0.85,"PRJDB4176","PRJEB27928"
0.375,0.875,"PRJDB4176","PRJEB27928"
0.4,0.875,"PRJDB4176","PRJEB27928"
0.425,0.875,"PRJDB4176","PRJEB27928"
0.45,0.875,"PRJDB4176","PRJEB27928"
0.475,0.875,"PRJDB4176","PRJEB27928"
0.5,0.875,"PRJDB4176","PRJEB27928"
0.525,0.875,"PRJDB4176","PRJEB27928"
0.55,0.875,"PRJDB4176","PRJEB27928"
0.55,0.9,"PRJDB4176","PRJEB27928"
0.575,0.9,"PRJDB4176","PRJEB27928"
0.6,0.925,"PRJDB4176","PRJEB27928"
0.6,0.95,"PRJDB4176","PRJEB27928"
0.625,0.95,"PRJDB4176","PRJEB27928"
0.65,0.95,"PRJDB4176","PRJEB27928"
0.675,0.95,"PRJDB4176","PRJEB27928"
0.7,0.95,"PRJDB4176","PRJEB27928"
0.7,0.975,"PRJDB4176","PRJEB27928"
