"FPR","TPR","Study","RepeatTimes","Fold","FeatureCount"
0,0.333333333333333,"PRJEB27928",10,2,50
0,0.416666666666667,"PRJEB27928",10,2,50
0,0.5,"PRJEB27928",10,2,50
0,0.583333333333333,"PRJEB27928",10,2,50
0,0.666666666666667,"PRJEB27928",10,2,50
0,0.75,"PRJEB27928",10,2,50
0.0769230769230769,0.75,"PRJEB27928",10,2,50
0.153846153846154,0.75,"PRJEB27928",10,2,50
0.153846153846154,0.833333333333333,"PRJEB27928",10,2,50
0.153846153846154,0.916666666666667,"PRJEB27928",10,2,50
0.230769230769231,0.916666666666667,"PRJEB27928",10,2,50
0.230769230769231,1,"PRJEB27928",10,2,50
0.307692307692308,1,"PRJEB27928",10,2,50
0.384615384615385,1,"PRJEB27928",10,2,50
0.461538461538462,1,"PRJEB27928",10,2,50
0.538461538461538,1,"PRJEB27928",10,2,50
0.615384615384615,1,"PRJEB27928",10,2,50
0.692307692307692,1,"PRJEB27928",10,2,50
0.769230769230769,1,"PRJEB27928",10,2,50
0.846153846153846,1,"PRJEB27928",10,2,50
1,1,"PRJEB27928",10,2,50
0,0,"PRJEB27928",10,1,50
0,0.0833333333333333,"PRJEB27928",10,1,50
0,0.166666666666667,"PRJEB27928",10,1,50
0,0.25,"PRJEB27928",10,1,50
0,0.333333333333333,"PRJEB27928",10,1,50
0,0.416666666666667,"PRJEB27928",10,1,50
0,0.5,"PRJEB27928",10,1,50
0,0.583333333333333,"PRJEB27928",10,1,50
0,0.666666666666667,"PRJEB27928",10,1,50
0,0.75,"PRJEB27928",10,1,50
0,0.833333333333333,"PRJEB27928",10,1,50
0,0.916666666666667,"PRJEB27928",10,1,50
0.0769230769230769,0.916666666666667,"PRJEB27928",10,1,50
0.0769230769230769,1,"PRJEB27928",10,1,50
0.230769230769231,1,"PRJEB27928",10,1,50
0.307692307692308,1,"PRJEB27928",10,1,50
0.384615384615385,1,"PRJEB27928",10,1,50
0.461538461538462,1,"PRJEB27928",10,1,50
0.538461538461538,1,"PRJEB27928",10,1,50
0.615384615384615,1,"PRJEB27928",10,1,50
0.692307692307692,1,"PRJEB27928",10,1,50
0.769230769230769,1,"PRJEB27928",10,1,50
0.846153846153846,1,"PRJEB27928",10,1,50
0.923076923076923,1,"PRJEB27928",10,1,50
1,1,"PRJEB27928",10,1,50
0,0,"PRJEB27928",9,5,50
0,0.0833333333333333,"PRJEB27928",9,5,50
0,0.166666666666667,"PRJEB27928",9,5,50
0,0.25,"PRJEB27928",9,5,50
0,0.333333333333333,"PRJEB27928",9,5,50
0,0.416666666666667,"PRJEB27928",9,5,50
0,0.5,"PRJEB27928",9,5,50
0,0.583333333333333,"PRJEB27928",9,5,50
0,0.666666666666667,"PRJEB27928",9,5,50
0,0.75,"PRJEB27928",9,5,50
0,0.833333333333333,"PRJEB27928",9,5,50
0,0.916666666666667,"PRJEB27928",9,5,50
0,1,"PRJEB27928",9,5,50
0.0769230769230769,1,"PRJEB27928",9,5,50
0.153846153846154,1,"PRJEB27928",9,5,50
0.230769230769231,1,"PRJEB27928",9,5,50
0.307692307692308,1,"PRJEB27928",9,5,50
0.384615384615385,1,"PRJEB27928",9,5,50
0.461538461538462,1,"PRJEB27928",9,5,50
0.538461538461538,1,"PRJEB27928",9,5,50
0.615384615384615,1,"PRJEB27928",9,5,50
0.692307692307692,1,"PRJEB27928",9,5,50
0.769230769230769,1,"PRJEB27928",9,5,50
0.846153846153846,1,"PRJEB27928",9,5,50
0.923076923076923,1,"PRJEB27928",9,5,50
1,1,"PRJEB27928",9,5,50
0,0,"PRJEB27928",9,4,50
0,0.0833333333333333,"PRJEB27928",9,4,50
0,0.166666666666667,"PRJEB27928",9,4,50
0,0.25,"PRJEB27928",9,4,50
0,0.416666666666667,"PRJEB27928",9,4,50
0,0.5,"PRJEB27928",9,4,50
0,0.583333333333333,"PRJEB27928",9,4,50
0,0.666666666666667,"PRJEB27928",9,4,50
0,0.75,"PRJEB27928",9,4,50
0,0.833333333333333,"PRJEB27928",9,4,50
0,0.916666666666667,"PRJEB27928",9,4,50
0.0769230769230769,0.916666666666667,"PRJEB27928",9,4,50
0.0769230769230769,1,"PRJEB27928",9,4,50
0.153846153846154,1,"PRJEB27928",9,4,50
0.230769230769231,1,"PRJEB27928",9,4,50
0.307692307692308,1,"PRJEB27928",9,4,50
0.384615384615385,1,"PRJEB27928",9,4,50
0.461538461538462,1,"PRJEB27928",9,4,50
0.538461538461538,1,"PRJEB27928",9,4,50
0.692307692307692,1,"PRJEB27928",9,4,50
0.769230769230769,1,"PRJEB27928",9,4,50
0.846153846153846,1,"PRJEB27928",9,4,50
0.923076923076923,1,"PRJEB27928",9,4,50
1,1,"PRJEB27928",9,4,50
0,0,"PRJEB27928",9,3,50
0,0.0833333333333333,"PRJEB27928",9,3,50
0,0.166666666666667,"PRJEB27928",9,3,50
0,0.25,"PRJEB27928",9,3,50
0,0.333333333333333,"PRJEB27928",9,3,50
0,0.416666666666667,"PRJEB27928",9,3,50
0,0.5,"PRJEB27928",9,3,50
0,0.583333333333333,"PRJEB27928",9,3,50
0,0.666666666666667,"PRJEB27928",9,3,50
0,0.75,"PRJEB27928",9,3,50
0,0.833333333333333,"PRJEB27928",9,3,50
0.0769230769230769,0.833333333333333,"PRJEB27928",9,3,50
0.0769230769230769,0.916666666666667,"PRJEB27928",9,3,50
0.153846153846154,0.916666666666667,"PRJEB27928",9,3,50
0.153846153846154,1,"PRJEB27928",9,3,50
0.230769230769231,1,"PRJEB27928",9,3,50
0.307692307692308,1,"PRJEB27928",9,3,50
0.384615384615385,1,"PRJEB27928",9,3,50
0.461538461538462,1,"PRJEB27928",9,3,50
0.538461538461538,1,"PRJEB27928",9,3,50
0.615384615384615,1,"PRJEB27928",9,3,50
0.692307692307692,1,"PRJEB27928",9,3,50
0.769230769230769,1,"PRJEB27928",9,3,50
0.846153846153846,1,"PRJEB27928",9,3,50
1,1,"PRJEB27928",9,3,50
0,0,"PRJEB27928",9,2,50
0,0.0833333333333333,"PRJEB27928",9,2,50
0,0.166666666666667,"PRJEB27928",9,2,50
0,0.25,"PRJEB27928",9,2,50
0,0.333333333333333,"PRJEB27928",9,2,50
0,0.416666666666667,"PRJEB27928",9,2,50
0,0.5,"PRJEB27928",9,2,50
0,0.583333333333333,"PRJEB27928",9,2,50
0,0.666666666666667,"PRJEB27928",9,2,50
0.0769230769230769,0.666666666666667,"PRJEB27928",9,2,50
0.153846153846154,0.666666666666667,"PRJEB27928",9,2,50
0.153846153846154,0.75,"PRJEB27928",9,2,50
0.153846153846154,0.833333333333333,"PRJEB27928",9,2,50
0.153846153846154,0.916666666666667,"PRJEB27928",9,2,50
0.153846153846154,1,"PRJEB27928",9,2,50
0.230769230769231,1,"PRJEB27928",9,2,50
0.307692307692308,1,"PRJEB27928",9,2,50
0.384615384615385,1,"PRJEB27928",9,2,50
0.461538461538462,1,"PRJEB27928",9,2,50
0.538461538461538,1,"PRJEB27928",9,2,50
0.615384615384615,1,"PRJEB27928",9,2,50
0.692307692307692,1,"PRJEB27928",9,2,50
1,1,"PRJEB27928",9,2,50
0,0,"PRJEB27928",9,1,50
0,0.0833333333333333,"PRJEB27928",9,1,50
0,0.166666666666667,"PRJEB27928",9,1,50
0,0.25,"PRJEB27928",9,1,50
0,0.333333333333333,"PRJEB27928",9,1,50
0,0.416666666666667,"PRJEB27928",9,1,50
0,0.5,"PRJEB27928",9,1,50
0,0.583333333333333,"PRJEB27928",9,1,50
0,0.666666666666667,"PRJEB27928",9,1,50
0,0.75,"PRJEB27928",9,1,50
0.0769230769230769,0.75,"PRJEB27928",9,1,50
0.0769230769230769,0.833333333333333,"PRJEB27928",9,1,50
0.0769230769230769,0.916666666666667,"PRJEB27928",9,1,50
0.0769230769230769,1,"PRJEB27928",9,1,50
0.153846153846154,1,"PRJEB27928",9,1,50
0.230769230769231,1,"PRJEB27928",9,1,50
0.307692307692308,1,"PRJEB27928",9,1,50
0.384615384615385,1,"PRJEB27928",9,1,50
0.461538461538462,1,"PRJEB27928",9,1,50
0.538461538461538,1,"PRJEB27928",9,1,50
0.615384615384615,1,"PRJEB27928",9,1,50
0.692307692307692,1,"PRJEB27928",9,1,50
0.769230769230769,1,"PRJEB27928",9,1,50
0.846153846153846,1,"PRJEB27928",9,1,50
0.923076923076923,1,"PRJEB27928",9,1,50
1,1,"PRJEB27928",9,1,50
0,0,"PRJEB27928",8,5,50
0,0.166666666666667,"PRJEB27928",8,5,50
0,0.25,"PRJEB27928",8,5,50
0,0.333333333333333,"PRJEB27928",8,5,50
0,0.5,"PRJEB27928",8,5,50
0,0.583333333333333,"PRJEB27928",8,5,50
0,0.666666666666667,"PRJEB27928",8,5,50
0,0.75,"PRJEB27928",8,5,50
0,0.833333333333333,"PRJEB27928",8,5,50
0.0769230769230769,0.833333333333333,"PRJEB27928",8,5,50
0.0769230769230769,0.916666666666667,"PRJEB27928",8,5,50
0.0769230769230769,1,"PRJEB27928",8,5,50
0.230769230769231,1,"PRJEB27928",8,5,50
0.307692307692308,1,"PRJEB27928",8,5,50
0.384615384615385,1,"PRJEB27928",8,5,50
0.461538461538462,1,"PRJEB27928",8,5,50
0.538461538461538,1,"PRJEB27928",8,5,50
0.615384615384615,1,"PRJEB27928",8,5,50
0.692307692307692,1,"PRJEB27928",8,5,50
0.769230769230769,1,"PRJEB27928",8,5,50
0.846153846153846,1,"PRJEB27928",8,5,50
0.923076923076923,1,"PRJEB27928",8,5,50
1,1,"PRJEB27928",8,5,50
0,0,"PRJEB27928",8,4,50
0,0.0833333333333333,"PRJEB27928",8,4,50
0,0.166666666666667,"PRJEB27928",8,4,50
0,0.25,"PRJEB27928",8,4,50
0,0.333333333333333,"PRJEB27928",8,4,50
0,0.416666666666667,"PRJEB27928",8,4,50
0,0.5,"PRJEB27928",8,4,50
0,0.583333333333333,"PRJEB27928",8,4,50
0,0.666666666666667,"PRJEB27928",8,4,50
0,0.75,"PRJEB27928",8,4,50
0.0769230769230769,0.75,"PRJEB27928",8,4,50
0.0769230769230769,0.833333333333333,"PRJEB27928",8,4,50
0.0769230769230769,0.916666666666667,"PRJEB27928",8,4,50
0.153846153846154,0.916666666666667,"PRJEB27928",8,4,50
0.153846153846154,1,"PRJEB27928",8,4,50
0.230769230769231,1,"PRJEB27928",8,4,50
0.307692307692308,1,"PRJEB27928",8,4,50
0.461538461538462,1,"PRJEB27928",8,4,50
0.538461538461538,1,"PRJEB27928",8,4,50
0.615384615384615,1,"PRJEB27928",8,4,50
0.692307692307692,1,"PRJEB27928",8,4,50
0.769230769230769,1,"PRJEB27928",8,4,50
0.846153846153846,1,"PRJEB27928",8,4,50
1,1,"PRJEB27928",8,4,50
0,0,"PRJEB27928",8,3,50
0,0.0833333333333333,"PRJEB27928",8,3,50
0,0.166666666666667,"PRJEB27928",8,3,50
0,0.25,"PRJEB27928",8,3,50
0,0.333333333333333,"PRJEB27928",8,3,50
0,0.416666666666667,"PRJEB27928",8,3,50
0,0.5,"PRJEB27928",8,3,50
0,0.583333333333333,"PRJEB27928",8,3,50
0,0.666666666666667,"PRJEB27928",8,3,50
0,0.75,"PRJEB27928",8,3,50
0,0.833333333333333,"PRJEB27928",8,3,50
0.0769230769230769,0.833333333333333,"PRJEB27928",8,3,50
0.0769230769230769,0.916666666666667,"PRJEB27928",8,3,50
0.0769230769230769,1,"PRJEB27928",8,3,50
0.153846153846154,1,"PRJEB27928",8,3,50
0.230769230769231,1,"PRJEB27928",8,3,50
0.384615384615385,1,"PRJEB27928",8,3,50
0.461538461538462,1,"PRJEB27928",8,3,50
0.538461538461538,1,"PRJEB27928",8,3,50
0.615384615384615,1,"PRJEB27928",8,3,50
0.692307692307692,1,"PRJEB27928",8,3,50
0.769230769230769,1,"PRJEB27928",8,3,50
0.846153846153846,1,"PRJEB27928",8,3,50
0.923076923076923,1,"PRJEB27928",8,3,50
1,1,"PRJEB27928",8,3,50
0,0,"PRJEB27928",8,2,50
0,0.0833333333333333,"PRJEB27928",8,2,50
0,0.166666666666667,"PRJEB27928",8,2,50
0,0.25,"PRJEB27928",8,2,50
0,0.333333333333333,"PRJEB27928",8,2,50
0,0.416666666666667,"PRJEB27928",8,2,50
0,0.5,"PRJEB27928",8,2,50
0,0.583333333333333,"PRJEB27928",8,2,50
0,0.666666666666667,"PRJEB27928",8,2,50
0,0.75,"PRJEB27928",8,2,50
0,0.833333333333333,"PRJEB27928",8,2,50
0,0.916666666666667,"PRJEB27928",8,2,50
0,1,"PRJEB27928",8,2,50
0.0769230769230769,1,"PRJEB27928",8,2,50
0.153846153846154,1,"PRJEB27928",8,2,50
0.230769230769231,1,"PRJEB27928",8,2,50
0.307692307692308,1,"PRJEB27928",8,2,50
0.384615384615385,1,"PRJEB27928",8,2,50
0.461538461538462,1,"PRJEB27928",8,2,50
0.538461538461538,1,"PRJEB27928",8,2,50
0.615384615384615,1,"PRJEB27928",8,2,50
0.692307692307692,1,"PRJEB27928",8,2,50
0.769230769230769,1,"PRJEB27928",8,2,50
0.846153846153846,1,"PRJEB27928",8,2,50
1,1,"PRJEB27928",8,2,50
0,0,"PRJEB27928",8,1,50
0,0.0833333333333333,"PRJEB27928",8,1,50
0,0.166666666666667,"PRJEB27928",8,1,50
0,0.25,"PRJEB27928",8,1,50
0,0.333333333333333,"PRJEB27928",8,1,50
0,0.416666666666667,"PRJEB27928",8,1,50
0,0.5,"PRJEB27928",8,1,50
0,0.583333333333333,"PRJEB27928",8,1,50
0,0.666666666666667,"PRJEB27928",8,1,50
0.0769230769230769,0.666666666666667,"PRJEB27928",8,1,50
0.153846153846154,0.666666666666667,"PRJEB27928",8,1,50
0.153846153846154,0.833333333333333,"PRJEB27928",8,1,50
0.230769230769231,0.833333333333333,"PRJEB27928",8,1,50
0.230769230769231,0.916666666666667,"PRJEB27928",8,1,50
0.307692307692308,0.916666666666667,"PRJEB27928",8,1,50
0.307692307692308,1,"PRJEB27928",8,1,50
0.384615384615385,1,"PRJEB27928",8,1,50
0.461538461538462,1,"PRJEB27928",8,1,50
0.538461538461538,1,"PRJEB27928",8,1,50
0.615384615384615,1,"PRJEB27928",8,1,50
0.692307692307692,1,"PRJEB27928",8,1,50
0.769230769230769,1,"PRJEB27928",8,1,50
0.846153846153846,1,"PRJEB27928",8,1,50
0.923076923076923,1,"PRJEB27928",8,1,50
1,1,"PRJEB27928",8,1,50
0,0,"PRJEB27928",7,5,50
0,0.0833333333333333,"PRJEB27928",7,5,50
0,0.166666666666667,"PRJEB27928",7,5,50
0,0.25,"PRJEB27928",7,5,50
0,0.333333333333333,"PRJEB27928",7,5,50
0,0.416666666666667,"PRJEB27928",7,5,50
0,0.5,"PRJEB27928",7,5,50
0,0.583333333333333,"PRJEB27928",7,5,50
0,0.666666666666667,"PRJEB27928",7,5,50
0,0.75,"PRJEB27928",7,5,50
0,0.833333333333333,"PRJEB27928",7,5,50
0,0.916666666666667,"PRJEB27928",7,5,50
0,1,"PRJEB27928",7,5,50
0.0769230769230769,1,"PRJEB27928",7,5,50
0.153846153846154,1,"PRJEB27928",7,5,50
0.230769230769231,1,"PRJEB27928",7,5,50
0.307692307692308,1,"PRJEB27928",7,5,50
0.384615384615385,1,"PRJEB27928",7,5,50
0.461538461538462,1,"PRJEB27928",7,5,50
0.538461538461538,1,"PRJEB27928",7,5,50
0.615384615384615,1,"PRJEB27928",7,5,50
0.692307692307692,1,"PRJEB27928",7,5,50
0.769230769230769,1,"PRJEB27928",7,5,50
0.923076923076923,1,"PRJEB27928",7,5,50
1,1,"PRJEB27928",7,5,50
0,0,"PRJEB27928",7,4,50
0,0.0833333333333333,"PRJEB27928",7,4,50
0,0.166666666666667,"PRJEB27928",7,4,50
0,0.333333333333333,"PRJEB27928",7,4,50
0,0.416666666666667,"PRJEB27928",7,4,50
0,0.5,"PRJEB27928",7,4,50
0,0.583333333333333,"PRJEB27928",7,4,50
0,0.666666666666667,"PRJEB27928",7,4,50
0,0.75,"PRJEB27928",7,4,50
0,0.833333333333333,"PRJEB27928",7,4,50
0.0769230769230769,0.833333333333333,"PRJEB27928",7,4,50
0.0769230769230769,0.916666666666667,"PRJEB27928",7,4,50
0.0769230769230769,1,"PRJEB27928",7,4,50
0.153846153846154,1,"PRJEB27928",7,4,50
0.230769230769231,1,"PRJEB27928",7,4,50
0.307692307692308,1,"PRJEB27928",7,4,50
0.384615384615385,1,"PRJEB27928",7,4,50
0.461538461538462,1,"PRJEB27928",7,4,50
0.538461538461538,1,"PRJEB27928",7,4,50
0.615384615384615,1,"PRJEB27928",7,4,50
0.692307692307692,1,"PRJEB27928",7,4,50
0.769230769230769,1,"PRJEB27928",7,4,50
0.846153846153846,1,"PRJEB27928",7,4,50
1,1,"PRJEB27928",7,4,50
0,0,"PRJEB27928",7,3,50
0,0.0833333333333333,"PRJEB27928",7,3,50
0,0.166666666666667,"PRJEB27928",7,3,50
0,0.333333333333333,"PRJEB27928",7,3,50
0,0.416666666666667,"PRJEB27928",7,3,50
0,0.5,"PRJEB27928",7,3,50
0,0.583333333333333,"PRJEB27928",7,3,50
0,0.666666666666667,"PRJEB27928",7,3,50
0,0.75,"PRJEB27928",7,3,50
0.0769230769230769,0.75,"PRJEB27928",7,3,50
0.153846153846154,0.75,"PRJEB27928",7,3,50
0.153846153846154,0.833333333333333,"PRJEB27928",7,3,50
0.230769230769231,0.833333333333333,"PRJEB27928",7,3,50
0.307692307692308,0.833333333333333,"PRJEB27928",7,3,50
0.384615384615385,0.833333333333333,"PRJEB27928",7,3,50
0.384615384615385,0.916666666666667,"PRJEB27928",7,3,50
0.461538461538462,0.916666666666667,"PRJEB27928",7,3,50
0.538461538461538,0.916666666666667,"PRJEB27928",7,3,50
0.615384615384615,0.916666666666667,"PRJEB27928",7,3,50
0.692307692307692,0.916666666666667,"PRJEB27928",7,3,50
0.769230769230769,0.916666666666667,"PRJEB27928",7,3,50
0.769230769230769,1,"PRJEB27928",7,3,50
0.846153846153846,1,"PRJEB27928",7,3,50
0.923076923076923,1,"PRJEB27928",7,3,50
1,1,"PRJEB27928",7,3,50
0,0,"PRJEB27928",7,2,50
0,0.0833333333333333,"PRJEB27928",7,2,50
0,0.166666666666667,"PRJEB27928",7,2,50
0,0.25,"PRJEB27928",7,2,50
0,0.333333333333333,"PRJEB27928",7,2,50
0,0.416666666666667,"PRJEB27928",7,2,50
0,0.5,"PRJEB27928",7,2,50
0,0.583333333333333,"PRJEB27928",7,2,50
0,0.666666666666667,"PRJEB27928",7,2,50
0,0.75,"PRJEB27928",7,2,50
0,0.833333333333333,"PRJEB27928",7,2,50
0.0769230769230769,0.833333333333333,"PRJEB27928",7,2,50
0.153846153846154,0.833333333333333,"PRJEB27928",7,2,50
0.230769230769231,0.916666666666667,"PRJEB27928",7,2,50
0.230769230769231,1,"PRJEB27928",7,2,50
0.307692307692308,1,"PRJEB27928",7,2,50
0.384615384615385,1,"PRJEB27928",7,2,50
0.461538461538462,1,"PRJEB27928",7,2,50
0.615384615384615,1,"PRJEB27928",7,2,50
0.692307692307692,1,"PRJEB27928",7,2,50
0.769230769230769,1,"PRJEB27928",7,2,50
0.846153846153846,1,"PRJEB27928",7,2,50
0.923076923076923,1,"PRJEB27928",7,2,50
1,1,"PRJEB27928",7,2,50
0,0,"PRJEB27928",7,1,50
0,0.0833333333333333,"PRJEB27928",7,1,50
0,0.166666666666667,"PRJEB27928",7,1,50
0,0.25,"PRJEB27928",7,1,50
0,0.333333333333333,"PRJEB27928",7,1,50
0,0.416666666666667,"PRJEB27928",7,1,50
0,0.5,"PRJEB27928",7,1,50
0,0.583333333333333,"PRJEB27928",7,1,50
0,0.666666666666667,"PRJEB27928",7,1,50
0,0.75,"PRJEB27928",7,1,50
0.0769230769230769,0.833333333333333,"PRJEB27928",7,1,50
0.153846153846154,0.833333333333333,"PRJEB27928",7,1,50
0.153846153846154,0.916666666666667,"PRJEB27928",7,1,50
0.230769230769231,0.916666666666667,"PRJEB27928",7,1,50
0.307692307692308,1,"PRJEB27928",7,1,50
0.384615384615385,1,"PRJEB27928",7,1,50
0.461538461538462,1,"PRJEB27928",7,1,50
0.538461538461538,1,"PRJEB27928",7,1,50
0.615384615384615,1,"PRJEB27928",7,1,50
0.692307692307692,1,"PRJEB27928",7,1,50
0.769230769230769,1,"PRJEB27928",7,1,50
0.846153846153846,1,"PRJEB27928",7,1,50
0.923076923076923,1,"PRJEB27928",7,1,50
1,1,"PRJEB27928",7,1,50
0,0,"PRJEB27928",6,5,50
0,0.0833333333333333,"PRJEB27928",6,5,50
0,0.166666666666667,"PRJEB27928",6,5,50
0,0.25,"PRJEB27928",6,5,50
0,0.333333333333333,"PRJEB27928",6,5,50
0,0.416666666666667,"PRJEB27928",6,5,50
0,0.5,"PRJEB27928",6,5,50
0,0.583333333333333,"PRJEB27928",6,5,50
0,0.666666666666667,"PRJEB27928",6,5,50
0,0.75,"PRJEB27928",6,5,50
0,0.833333333333333,"PRJEB27928",6,5,50
0,0.916666666666667,"PRJEB27928",6,5,50
0.0769230769230769,0.916666666666667,"PRJEB27928",6,5,50
0.153846153846154,0.916666666666667,"PRJEB27928",6,5,50
0.153846153846154,1,"PRJEB27928",6,5,50
0.230769230769231,1,"PRJEB27928",6,5,50
0.307692307692308,1,"PRJEB27928",6,5,50
0.384615384615385,1,"PRJEB27928",6,5,50
0.461538461538462,1,"PRJEB27928",6,5,50
0.538461538461538,1,"PRJEB27928",6,5,50
0.615384615384615,1,"PRJEB27928",6,5,50
0.692307692307692,1,"PRJEB27928",6,5,50
0.769230769230769,1,"PRJEB27928",6,5,50
0.846153846153846,1,"PRJEB27928",6,5,50
0.923076923076923,1,"PRJEB27928",6,5,50
1,1,"PRJEB27928",6,5,50
0,0,"PRJEB27928",6,4,50
0,0.0833333333333333,"PRJEB27928",6,4,50
0,0.166666666666667,"PRJEB27928",6,4,50
0,0.25,"PRJEB27928",6,4,50
0,0.333333333333333,"PRJEB27928",6,4,50
0,0.416666666666667,"PRJEB27928",6,4,50
0,0.5,"PRJEB27928",6,4,50
0,0.583333333333333,"PRJEB27928",6,4,50
0,0.666666666666667,"PRJEB27928",6,4,50
0,0.75,"PRJEB27928",6,4,50
0,0.833333333333333,"PRJEB27928",6,4,50
0,1,"PRJEB27928",6,4,50
0.0769230769230769,1,"PRJEB27928",6,4,50
0.153846153846154,1,"PRJEB27928",6,4,50
0.230769230769231,1,"PRJEB27928",6,4,50
0.307692307692308,1,"PRJEB27928",6,4,50
0.384615384615385,1,"PRJEB27928",6,4,50
0.461538461538462,1,"PRJEB27928",6,4,50
0.538461538461538,1,"PRJEB27928",6,4,50
0.615384615384615,1,"PRJEB27928",6,4,50
0.769230769230769,1,"PRJEB27928",6,4,50
1,1,"PRJEB27928",6,4,50
0,0,"PRJEB27928",6,3,50
0,0.0833333333333333,"PRJEB27928",6,3,50
0,0.166666666666667,"PRJEB27928",6,3,50
0,0.25,"PRJEB27928",6,3,50
0,0.333333333333333,"PRJEB27928",6,3,50
0,0.416666666666667,"PRJEB27928",6,3,50
0.0769230769230769,0.416666666666667,"PRJEB27928",6,3,50
0.0769230769230769,0.5,"PRJEB27928",6,3,50
0.0769230769230769,0.583333333333333,"PRJEB27928",6,3,50
0.0769230769230769,0.666666666666667,"PRJEB27928",6,3,50
0.153846153846154,0.666666666666667,"PRJEB27928",6,3,50
0.230769230769231,0.666666666666667,"PRJEB27928",6,3,50
0.230769230769231,0.75,"PRJEB27928",6,3,50
0.230769230769231,0.833333333333333,"PRJEB27928",6,3,50
0.307692307692308,0.833333333333333,"PRJEB27928",6,3,50
0.307692307692308,0.916666666666667,"PRJEB27928",6,3,50
0.384615384615385,0.916666666666667,"PRJEB27928",6,3,50
0.461538461538462,0.916666666666667,"PRJEB27928",6,3,50
0.538461538461538,0.916666666666667,"PRJEB27928",6,3,50
0.615384615384615,0.916666666666667,"PRJEB27928",6,3,50
